,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
38,2023,RK1003_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
38,2024,RK1003_3,,,,,,,,,,,,,SL,
39,2021,RK1003_4,,,,,,,,,,,,,SL,
39,2022,RK1003_4,,,,,,,,,,,,,SL,
39,2023,RK1003_4,,,,,1,1,1,1,,1,,,SL,
39,2024,RK1003_4,,,,,,,,,,,,,SL,
40,2021,RK1009_0,,,,,,,,,,,,,SL,
40,2022,RK1009_0,,,,,,,,,,,,,SL,
40,2023,RK1009_0,1,,,,,,,,,,,,SL,
40,2024,RK1009_0,,,,,,,,,,,,,SL,
41,2021,RK1010_0,,,,,,,,,,,,,SL,
41,2022,RK1010_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
41,2023,RK1010_0,,,,,,,,,,,,,SL,
41,2024,RK1010_0,,,,,,,,,,,,,SL,
42,2021,RK1010_3,,,,,,,1,1,1,1,,,SL,
42,2022,RK1010_3,,1,,,1,,1,,,,1,1,SL,
42,2023,RK1010_3,1,1,1,1,1,1,1,,1,,1,1,SL,
42,2024,RK1010_3,1,1,1,,1,1,1,1,1,,1,1,SL,
43,2021,RK1013_0,,,,,,,,,,,,,SL,
43,2022,RK1013_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
43,2023,RK1013_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
43,2024,RK1013_0,,,,,,,,,,,,,SL,
44,2021,RK1013_2,,,,,,,,,,,,,SL,
44,2022,RK1013_2,,1,1,1,1,,1,,,,1,1,SL,
44,2023,RK1013_2,1,1,1,1,1,,1,1,1,,1,1,SL,
44,2024,RK1013_2,,,1,,,1,,,,,,1,SL,
45,2021,RK1013_3,,,,,,,,,,,,,SL,
45,2022,RK1013_3,,,,,,,,,,,,,SL,
45,2023,RK1013_3,,,,,,,,,,,,,SL,
45,2024,RK1013_3,1,1,1,1,1,1,1,1,1,1,1,1,SL,
46,2021,RK1013_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
46,2022,RK1013_4,,,,,,,,,,,,,SL,
46,2023,RK1013_4,,,,,,,,,,,,,SL,
46,2024,RK1013_4,,,,,,,,,,,,,SL,
47,2021,RK1013_5,1,1,1,1,1,1,1,1,1,1,1,1,SL,
47,2022,RK1013_5,,,,,,,,,,,,,SL,
47,2023,RK1013_5,,,,,,,,,,,,,SL,
47,2024,RK1013_5,,,,,,,,,,,,,SL,
48,2021,RK1015_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
48,2022,RK1015_0,,,,,,,,,,,,,SL,
48,2023,RK1015_0,,,,,,,,,,,,,SL,
48,2024,RK1015_0,,,,,,,,,,,,,SL,
49,2021,RK1015_1,,,,,,,,,,,,,SL,
49,2022,RK1015_1,,,,1,1,,,1,1,,,,SL,
49,2023,RK1015_1,,,,,,,1,1,1,1,,,SL,
49,2024,RK1015_1,,,1,,1,1,1,1,1,,1,,SL,
50,2021,RK1018_0,,,,,,,,,,,,,SL,
50,2022,RK1018_0,,,,,,,,,,,,,SL,
50,2023,RK1018_0,1,,,,,,,,,,,,SL,
50,2024,RK1018_0,,,,,,,,,,,,,SL,
51,2021,RK1018_1,,,,,,,,,,,,,SL,
51,2022,RK1018_1,,,,,,,,,,,,,SL,
51,2023,RK1018_1,,,,,,,,,,,,,SL,
51,2024,RK1018_1,1,1,1,1,1,1,1,1,1,,1,1,SL,
52,2021,RK1021_0,,,,,,,,,,,,,SL,
52,2022,RK1021_0,,,,,,,,,,,1,,SL,
